Date,Rating,Review_No_x,Review_No_y,Perc
2017-08-30,5,94,120,0.7833333333333333
2017-08-31,1,9,118,0.07627118644067797
2017-08-31,3,1,118,0.00847457627118644
2017-08-31,4,17,118,0.1440677966101695
2017-08-31,5,91,118,0.7711864406779662
2017-09-01,1,13,130,0.1
2017-09-01,2,3,130,0.023076923076923078
2017-09-01,3,4,130,0.03076923076923077
2017-09-01,4,19,130,0.14615384615384616
2017-09-01,5,91,130,0.7
2017-09-02,1,7,144,0.04861111111111111
2017-09-02,3,4,144,0.027777777777777776
2017-09-02,4,22,144,0.1527777777777778
2017-09-02,5,111,144,0.7708333333333334
2017-09-03,1,13,155,0.08387096774193549
2017-09-03,2,1,155,0.0064516129032258064
2017-09-03,3,4,155,0.025806451612903226
2017-09-03,4,18,155,0.11612903225806452
2017-09-03,5,119,155,0.7677419354838709
2017-09-04,1,9,132,0.06818181818181818
2017-09-04,2,1,132,0.007575757575757576
2017-09-04,3,5,132,0.03787878787878788
2017-09-04,4,20,132,0.15151515151515152
2017-09-04,5,97,132,0.7348484848484849
2017-09-05,1,10,113,0.08849557522123894
2017-09-05,2,1,113,0.008849557522123894
2017-09-05,3,2,113,0.017699115044247787
2017-09-05,4,11,113,0.09734513274336283
2017-09-05,5,89,113,0.7876106194690266
2017-09-06,1,3,124,0.024193548387096774
2017-09-06,3,4,124,0.03225806451612903
2017-09-06,4,12,124,0.0967741935483871
2017-09-06,5,105,124,0.8467741935483871
2017-09-07,1,6,123,0.04878048780487805
2017-09-07,2,2,123,0.016260162601626018
2017-09-07,3,5,123,0.04065040650406504
2017-09-07,4,23,123,0.18699186991869918
